original,parody,reasoning
You Got Served,You Got Serbed,Serbian ethnic humor - sounds nearly identical to original
The Matrix,The Mattress,Sci-fi epic becomes furniture commercial - phonetic match on -atrix/-attress
Die Hard,Dye Hard,Action movie becomes hair salon drama - single letter swap
Fight Club,Fright Club,Underground fighting becomes Halloween party - F→Fr swap
Top Gun,Top Bun,Military aviation becomes bakery competition - G→B swap
Pulp Fiction,Gulp Friction,Crime drama becomes digestive issue - both words changed phonetically
Star Wars,Scar Whores,Space opera becomes edgy adult content - St→Sc and W→Wh
Kill Bill,Pill Bill,Revenge thriller becomes pharmacy drama - K→P swap
Mad Max,Sad Sax,Post-apocalyptic becomes jazz depression - M→S swap
Iron Man,Iron Nan,Superhero becomes tough grandma - M→N swap
The Godfather,The Codfather,Mafia boss runs a fish empire - G→C swap
Goodfellas,Foodfellas,Mob movie becomes cooking show - G→F swap
Scarface,Carface,Drug lord becomes automotive enthusiast - Sc→C swap
Braveheart,Graveheart,Scottish freedom becomes cemetery drama - B→G swap
The Shining,The Whining,Horror becomes entitled complaints - Sh→Wh swap
Jaws,Paws,Shark terror becomes cute pet movie - J→P swap
Alien,Ailean,Sci-fi horror becomes Scottish woman's story - phonetic spelling
The Ring,The Bling,Horror becomes hip-hop jewelry show - R→Bl swap
The Silence of the Lambs,The Silence of the Clams,Serial killer becomes seafood mystery - L→Cl swap
Gone with the Wind,Bong with the Wind,Civil War epic becomes stoner comedy - G→B swap
The Lord of the Rings,The Lard of the Wings,Fantasy epic becomes buffalo wing competition - Lord→Lard Rings→Wings
Breaking Bad,Braking Dad,Meth empire becomes driving school - e→a swap
The Office,The Orifice,Workplace comedy becomes medical drama - Off→Orif swap
Game of Thrones,Lame of Thrones,Fantasy epic becomes boring office politics - G→L swap
Stranger Things,Stranger Flings,Sci-fi horror becomes dating disasters - Th→Fl swap
Forrest Gump,Forrest Dump,Heartwarming drama becomes bathroom comedy - G→D swap
Titanic,Gigantic,Disaster romance becomes size obsession - T→G swap
The Dark Knight,The Bark Knight,Superhero becomes dog movie - D→B swap
Inception,Contraception,Mind-bending thriller becomes birth control drama - In→Contra swap
The Avengers,The Revengers,Superhero team becomes petty grudge holders - A→Re swap
Jurassic Park,Jurassic Bark,Dinosaur thriller becomes dog park adventure - P→B swap
Finding Nemo,Finding Emo,Family animation becomes teen angst drama - N→E swap
Frozen,Frozone,Disney princess becomes Incredibles character - subtle sound match
The Lion King,The Lyin' King,Disney classic becomes political satire - Lion→Lyin' homophone
Beauty and the Beast,Booty and the Beast,Fairy tale becomes adult content - Beauty→Booty
Toy Story,Soy Story,Childhood adventure becomes vegan documentary - T→S swap
Shrek,Shriek,Ogre comedy becomes horror film - e→ie swap
The Hunger Games,The Bunger Games,Dystopian thriller becomes Australian slang comedy - H→B swap
Harry Potter,Hairy Potter,Wizard saga becomes ceramics with body hair issues - double r emphasis
Lord of the Flies,Lord of the Fries,Survival horror becomes fast food empire - Fl→Fr swap
The Departed,The Defarted,Crime thriller becomes flatulence comedy - p→f swap
No Country for Old Men,No Country for Bold Men,Neo-western becomes confidence coaching - O→Bo swap
The Social Network,The Antisocial Network,Tech drama becomes introvert comedy - adding Anti-
Black Panther,Slack Panther,Superhero becomes lazy cat movie - Bl→Sl swap
Spider-Man,Cider-Man,Hero becomes alcoholic beverage mascot - Sp→C swap
Wonder Woman,Wander Woman,Superhero becomes lost tourist - o→a swap
Guardians of the Galaxy,Guardians of the Gravy,Space opera becomes Thanksgiving drama - Galaxy→Gravy
